File,SentenceNumber,Sentence,Translation
C_1,16,"‎28 / 04 / 18 , 14 : 24 - Vittima : perché ve la prendete con me","‎28 / 04 / 18 , 14 : 24 - Vittima : Why are you targeting me?"
C_1,17,"‎28 / 04 / 18 , 14 : 24 - Bullo2 : No è di chi","‎28 / 04 / 18 , 14 : 24 - Bullo2 : No it's whose"
C_1,18,"‎28 / 04 / 18 , 14 : 24 - Vittima : è stata mia madre","‎28 / 04 / 18 , 14 : 24 - Vittima : it was my mother"
C_1,19,"‎28 / 04 / 18 , 14 : 24 - SupportoVittima1 : 1 cosa NON é il mio fidanzato","‎28 / 04 / 18 , 14 : 24 - SupportoVittima1 : First thing he is not my boyfriend"
C_1,20,"‎28 / 04 / 18 , 14 : 24 - Vittima : ma io non ho fatto niente","‎28 / 04 / 18 , 14 : 24 - Vittima : but I have not done anything"
C_1,21,"‎28 / 04 / 18 , 14 : 24 - Bullo2 : Tua madre fa schifo quanto te","‎28 / 04 / 18 , 14 : 24 - Bullo2 : Your mother sucks as much as you do"
C_1,22,"‎28 / 04 / 18 , 14 : 25 - Vittima : non offendere mia madre","‎28 / 04 / 18 , 14 : 25 - Vittima : do not offend my mother"
C_1,23,"‎28 / 04 / 18 , 14 : 25 - SupportoBullo3 : Hahahaha che bacia ancora con la mamma chiamiamo l'ambulagna","‎28 / 04 / 18 , 14 : 25 - SupportoBullo3 : Hahaha still kissing with mom, let's call the ambulance"
C_1,24,"‎28 / 04 / 18 , 14 : 25 - Bullo2 : Sempre li a studiare stai ma fatti una vita cazzo","‎28 / 04 / 18 , 14 : 25 - Bullo2 : You're always studying, but live a f***ing life."
C_1,25,"‎28 / 04 / 18 , 14 : 25 - SupportoVittima1 : Lo volete ccapire che non é colpa sua ma di sua madre","‎28 / 04 / 18 , 14 : 25 - SupportoVittima1 : Do you understand that it's not his fault, it's his mother's fault."
C_1,26,"‎28 / 04 / 18 , 14 : 25 - Vittima : ma cosa vuoi tu","‎28 / 04 / 18 , 14 : 25 - Vittima : What do you want"
C_1,27,"‎28 / 04 / 18 , 14 : 25 - Vittima : a me piace studiare","28 / 04 / 18 , 14 : 25 - Vittima : I like to study"
C_1,28,"‎28 / 04 / 18 , 14 : 25 - Bullo2 : Io offendo chi voglio","‎28 / 04 / 18 , 14 : 25 - Bullo2 : I offend whoever I want"
C_1,29,"‎28 / 04 / 18 , 14 : 25 - Bullo2 : Studia studia poi tanto da grande pulirai i cessi","‎28 / 04 / 18 , 14 : 25 - Bullo2 : Study, study. When you grow up you'll be cleaning toilets anyway."
C_1,30,"‎28 / 04 / 18 , 14 : 25 - Vittima : magari vi fa bene studiare un po'","‎28 / 04 / 18 , 14 : 25 - Vittima : Maybe it's good for you to study a little."
C_1,31,"‎28 / 04 / 18 , 14 : 26 - Vittima : visto che non mi sembra siate bravissimi","‎28 / 04 / 18 , 14 : 26 - Vittima : since you don't seem to be very good at it"
C_1,32,"‎28 / 04 / 18 , 14 : 26 - Vittima : non è vero","‎28 / 04 / 18 , 14 : 26 - Vittima : It's not true."
C_1,33,"‎28 / 04 / 18 , 14 : 26 - Vittima : lo dico alla prof che mi offendi","‎28 / 04 / 18 , 14 : 26 - Vittima : I'll tell the teacher that you offend me."
C_1,34,"‎28 / 04 / 18 , 14 : 26 - Bullo2 : Diglielo","‎28 / 04 / 18 , 14 : 26 - Bullo2 : Tell him"
C_1,35,"‎28 / 04 / 18 , 14 : 26 - Vittima : dopo voglio vedee","‎28 / 04 / 18 , 14 : 26 - Vittima : I want to see then"
C_1,36,"‎28 / 04 / 18 , 14 : 26 - SupportoBullo3 : Ma che testa di cazzo come tua madre","‎28 / 04 / 18 , 14 : 26 - SupportoBullo3 : What a dickhead, like your mother."
C_1,37,"‎28 / 04 / 18 , 14 : 26 - SupportoVittima1 : No carino quello é il tuo lavoro se non inizi a studiare un pò","‎28 / 04 / 18 , 14 : 26 - SupportoVittima1 : That's your job, dear, if you don't start studying."
C_1,38,"‎28 / 04 / 18 , 14 : 27 - Bullo2 : Raga sto qua e già tanto che ha WhatsApp &#129315; &#129315; coglione quanto lo puoi usare il telefono al giorno due minuti ?","‎28 / 04 / 18 , 14 : 27 - Bullo2 :  Guys, it is a wonder that this chap has WhatsApp &#129315; &#129315; asshole how long  can you use the phone per day -  two minutes?"
C_1,39,"‎28 / 04 / 18 , 14 : 27 - SupportoBullo3 : Ma stai zitta SupportoVittima1 che tu lavorerai tu ai cessi come te","‎28 / 04 / 18 , 14 : 27 - SupportoBullo3 : Shut up SupportoVittima1 you will work in the toilets like you"
C_1,40,"‎28 / 04 / 18 , 14 : 27 - SupportoBullo3 : Hahahah hai ragione","‎28 / 04 / 18 , 14 : 27 - SupportoBullo3 : Hahahah you are right"
C_1,41,"‎28 / 04 / 18 , 14 : 27 - Bullo2 : Grande SupportoBullo3","‎28 / 04 / 18 , 14 : 27 - Bullo2 : Great SupportoBullo3"
C_1,42,"‎28 / 04 / 18 , 14 : 28 - Vittima : io non lo uso spesso perché devo studiare . . . ma non ho regole","‎28 / 04 / 18 , 14 : 28 - Vittima : I don't use it often because I have to study. . . but I have no rules"
C_1,43,"‎28 / 04 / 18 , 14 : 28 - Bullo2 : Ma stai zitta mona","‎28 / 04 / 18 , 14 : 28 - Bullo2 : shut up bitch"
C_1,44,"‎28 / 04 / 18 , 14 : 28 - Vittima : mica sono un bambino","‎28 / 04 / 18 , 14 : 28 - Vittima : I am not a child"
C_1,45,"‎28 / 04 / 18 , 14 : 28 - SupportoVittima1 : Ma dai che qui sei te il cesso","‎28 / 04 / 18 , 14 : 28 - SupportoVittima1 : Come on, you're the shit here."
C_1,46,"‎28 / 04 / 18 , 14 : 28 - Bullo2 : Appunto","‎28 / 04 / 18 , 14 : 28 - Bullo2 : Exactly"
C_1,47,"‎28 / 04 / 18 , 14 : 28 - Bullo2 : Questo è ritardato","‎28 / 04 / 18 , 14 : 28 - Bullo2 : This one is retarded"
C_1,48,"‎28 / 04 / 18 , 14 : 28 - SupportoVittima1 : Ok","‎28 / 04 / 18 , 14 : 28 - SupportoVittima1 : Ok"
C_1,49,"‎28 / 04 / 18 , 14 : 28 - SupportoBullo3 : Si sì tu sei un bimbo minchia come la tua ragazza SupportoVittima1","‎28 / 04 / 18 , 14 : 28 - SupportoBullo3 : Yes, you are a f***ing kid like your girlfriend SupportoVittima1"
C_1,50,"‎28 / 04 / 18 , 14 : 28 - Bullo2 : Perfetto","‎28 / 04 / 18 , 14 : 28 - Bullo2 : Perfect"
C_1,51,"‎28 / 04 / 18 , 14 : 29 - SupportoBullo3 : Ok","‎28 / 04 / 18 , 14 : 29 - SupportoBullo3 : Ok"
C_1,52,"‎28 / 04 / 18 , 14 : 29 - SupportoBullo3 : Perfetto scusa SupportoVittima1","‎28 / 04 / 18 , 14 : 29 - SupportoBullo3 : Perfect, sorry SupportoVittima1"
C_1,53,"‎28 / 04 / 18 , 14 : 29 - SupportoBullo1 : &#128514; &#128514;","‎28 / 04 / 18 , 14 : 29 - SupportoBullo1 : &#128514; &#128514;"
C_1,54,"‎28 / 04 / 18 , 14 : 29 - Vittima : comunque io ho parlato con mia madre e mi ha detto che ha solo suggerito di fare un po' più di compiti perché effettivamente non si studia molto","‎28 / 04 / 18 , 14 : 29 - Vittima : Anyway I talked to my mom and she told me that she only suggested that we should do a little more homework because we actually do not study much"
C_1,55,"‎28 / 04 / 18 , 14 : 29 - SupportoVittima1 : NON SONO LA SUA RAGAZZAAAAAAAA","‎28 / 04 / 18 , 14 : 29 - SupportoVittima1 : I'M NOT HIS GIRLFRIEND."
C_1,56,"‎28 / 04 / 18 , 14 : 29 - Bullo2 : Ma studi tutto il giorno mina ?","‎28 / 04 / 18 , 14 : 29 - Bullo2 : Do you study all day bitch?"
C_1,57,"‎28 / 04 / 18 , 14 : 29 - Vittima : e io faccio sempre roba aggiuntiva","‎28 / 04 / 18 , 14 : 29 - Vittima : I'm always doing extra stuff."
C_1,58,"‎28 / 04 / 18 , 14 : 29 - Bullo2 : Mona*","‎28 / 04 / 18 , 14 : 29 - Bullo2 : Bitch!"
C_1,59,"‎28 / 04 / 18 , 14 : 30 - SupportoBullo1 : Dato che non hai regole vai da tua madre e mandala a fanculo se è stata lei","‎28 / 04 / 18 , 14 : 30 - SupportoBullo1 : Since you don't have any rules, go to your mother and tell her to fuck off, if it was her!"
C_1,60,"‎28 / 04 / 18 , 14 : 30 - Vittima : che c'è di male se studio ?","‎28 / 04 / 18 , 14 : 30 - Vittima : What's wrong with studying?"
C_1,61,"‎28 / 04 / 18 , 14 : 30 - Bullo2 : Ma sei ritardato forte fra","‎28 / 04 / 18 , 14 : 30 - Bullo2 : But you are deeply retarded, bro"
C_1,62,"‎28 / 04 / 18 , 14 : 30 - Vittima : io a mia madre non dico proprio nulla","‎28 / 04 / 18 , 14 : 30 - Vittima : I say  nothing at all to my mother"
C_1,63,"‎28 / 04 / 18 , 14 : 30 - Vittima : chi sei tu per dirmi cosa devo dirle=","‎28 / 04 / 18 , 14 : 30 - Vittima : who are you to tell me what to tell her="
C_1,64,"‎28 / 04 / 18 , 14 : 30 - SupportoBullo3 : Cosa ma sei tutto fatto coglione","‎28 / 04 / 18 , 14 : 30 - SupportoBullo3 : What? you're a stoned asshole"
C_1,65,"‎28 / 04 / 18 , 14 : 30 - SupportoBullo3 : Hahaha proprio deficente","‎28 / 04 / 18 , 14 : 30 - SupportoBullo3 : Hahaha you're such a dork"
C_1,66,"‎28 / 04 / 18 , 14 : 30 - Bullo2 : Si tu studia fai quel cazzo che vuoi ma di a tua madre a quella p . . . . Di non dire più un cazzo ai professori che già abbiamo troppi compiti","‎28 / 04 / 18 , 14 : 30 - Bullo2 : Yes, study, do what the fuck you want but tell your mother that b . . . . Not to tell the teachers anything, we already have too much homework."
C_1,67,"‎28 / 04 / 18 , 14 : 31 - SupportoBullo1 : Qualcuno perché , per colpa sua ora siamo qui a fare compiti su compiti &#128545;","‎28 / 04 / 18 , 14 : 31 - SupportoBullo1 : Someone because, because of him we are now here doing homework after homework &#128545;"
C_1,68,"‎28 / 04 / 18 , 14 : 31 - Bullo2 : Già","‎28 / 04 / 18 , 14 : 31 - Bullo2 : Yep"
C_1,69,"‎28 / 04 / 18 , 14 : 31 - SupportoVittima1 : Ma tanto non li fate lostesso i compiti quindi non vi cambia niente","‎28 / 04 / 18 , 14 : 31 - SupportoVittima1 : But you don't do your homework anyway, so it doesn't change anything."
C_1,70,"‎28 / 04 / 18 , 14 : 31 - Bullo2 : Parla lei","‎28 / 04 / 18 , 14 : 31 - Bullo2 : She is talking"
C_1,71,"‎28 / 04 / 18 , 14 : 32 - SupportoBullo3 : Si Vittima di a quella tro . . . di tua mamma che non si permetta di dire ai prof di aumentare i compiti","‎28 / 04 / 18 , 14 : 32 - SupportoBullo3 : Yes Vittima, tell that b….... of your mother not to dare tell the teachers to give us more homework."
C_1,72,"‎28 / 04 / 18 , 14 : 32 - SupportoVittima1 : Si parlo io problemi","‎28 / 04 / 18 , 14 : 32 - SupportoVittima1 : Yes I speak, problems"
C_1,73,"‎28 / 04 / 18 , 14 : 32 - Bullo2 : Con i compiti che ci ha dato la prof mi ci pulisco il c . . O","‎28 / 04 / 18 , 14 : 32 - Bullo2 : With the homework the teacher gave us I wipe my a . . O"
C_1,74,"‎28 / 04 / 18 , 14 : 32 - SupportoBullo3 : Quella che prende sempre 5","‎28 / 04 / 18 , 14 : 32 - SupportoBullo3 : The one who always takes 5"
C_1,75,"‎28 / 04 / 18 , 14 : 32 - SupportoBullo1 : Ma vai a fare . . . . Vittima tu e i tuoi compiti","‎28 / 04 / 18 , 14 : 32 - SupportoBullo1 : Go to. . . . Vittima, you and your homework"
C_1,76,"‎28 / 04 / 18 , 14 : 33 - SupportoBullo3 : Quindi non è un offesa","‎28 / 04 / 18 , 14 : 33 - SupportoBullo3 : So it is not an offense"
C_1,77,"‎28 / 04 / 18 , 14 : 34 - Bullo2 : Si è un offesa","‎28 / 04 / 18 , 14 : 34 - Bullo2 : Yes it is an offense."
C_1,78,"‎28 / 04 / 18 , 14 : 34 - Bullo2 : &#129315;","‎28 / 04 / 18 , 14 : 34 - Bullo2 : &#129315;"
C_1,79,"‎28 / 04 / 18 , 14 : 35 - Bullo2 : Vittima infame per te solo le lame","‎28 / 04 / 18 , 14 : 35 - Bullo2 : Vile Vittima, the knives are out for you."
C_1,80,"‎28 / 04 / 18 , 14 : 35 - SupportoBullo3 : E patate","‎28 / 04 / 18 , 14 : 35 - SupportoBullo3 : And potatoes"
C_1,81,"‎28 / 04 / 18 , 14 : 35 - Bullo2 : Si in testa","‎28 / 04 / 18 , 14 : 35 - Bullo2 : Yes in the head"
C_1,82,"‎28 / 04 / 18 , 14 : 36 - Bullo2 : Così magari diventa scemo","‎28 / 04 / 18 , 14 : 36 - Bullo2 : So maybe it becomes dumb"
C_1,83,"‎28 / 04 / 18 , 14 : 36 - SupportoVittima1 : Ma pk ce la avete contro di lui cosa vi ha fatto","‎28 / 04 / 18 , 14 : 36 - SupportoVittima1 :  What is your problem with him what he did to you"
C_1,84,"‎28 / 04 / 18 , 14 : 36 - Bullo2 : Stai zitta","‎28 / 04 / 18 , 14 : 36 - Bullo2 : Shut up!"
C_1,85,"‎28 / 04 / 18 , 14 : 36 - SupportoBullo1 : Esci di casa a prenderti un po'di aria vah . . . ma dato che non puoi secchione di merda stai lì sui libri e studia poi vediamo quando sarai al manicomio , asociale del cazzo","‎28 / 04 / 18 , 14 : 36 - SupportoBullo1 : Get out of the house and get some air... but since you can't, you f***ing nerd, stay there and study, then we'll see when you're in the nuthouse, you f***ing unsociable!"
C_1,86,"‎28 / 04 / 18 , 14 : 36 - SupportoVittima1 : Non ci penso neanche","‎28 / 04 / 18 , 14 : 36 - SupportoVittima1 : I don't even think about it."
C_1,87,"‎28 / 04 / 18 , 14 : 37 - Bullo2 : Secchione de mmmmmerrrrrda","‎28 / 04 / 18 , 14 : 37 - Bullo2 : Shitty nerd."
C_1,88,"‎28 / 04 / 18 , 14 : 37 - SupportoBullo1 : E pensaci sì signorina bella guarda che è inutile che li stai dietro anche tu ai i compiti in più da fare","‎28 / 04 / 18 , 14 : 37 - SupportoBullo1 : And think about it, miss beautiful, it's useless to keep up with him, you too have more homework to do"
C_1,89,"‎28 / 04 / 18 , 14 : 38 - SupportoVittima1 : Ma tanto non li facci quindi non me ne freg","‎28 / 04 / 18 , 14 : 38 - SupportoVittima1 : I don't do it anyway, so I don't care."
C_1,90,"‎28 / 04 / 18 , 14 : 38 - SupportoVittima1 : *frega","‎28 / 04 / 18 , 14 : 38 - SupportoVittima1 : *frega"
C_1,91,"‎28 / 04 / 18 , 14 : 39 - Bullo2 : Tutti i secchioni del cazzo sono ritatdati","‎28 / 04 / 18 , 14 : 39 - Bullo2 : All f***ing nerds are retarded"
C_1,92,"‎28 / 04 / 18 , 14 : 40 - SupportoVittima1 : Ha ecco pk sei secchione","‎28 / 04 / 18 , 14 : 40 - SupportoVittima1 : That's why you're a nerd."
C_1,93,"‎28 / 04 / 18 , 14 : 46 - Vittima : a me piace leggere","‎28 / 04 / 18 , 14 : 46 - Vittima : I like reading."
C_1,94,"‎28 / 04 / 18 , 14 : 46 - Vittima : siete voi che non avete la giusta sensibilità","‎28 / 04 / 18 , 14 : 46 - Vittima :  You who do not have the right sensitivity"
C_1,95,"‎28 / 04 / 18 , 14 : 46 - Vittima : e sapete solo offendere","‎28 / 04 / 18 , 14 : 46 - Vittima : and you can just offend"
C_1,96,"‎28 / 04 / 18 , 14 : 49 - SupportoBullo1 : Si scusa ma dato che piace solo a te e a noi no pk tua mamma è andata a dire di aggiungere compiti scusa ? Mica esisti solo tu","‎28 / 04 / 18 , 14 : 49 - SupportoBullo1 : Yes, excuse-me but since you like it and we do not, why did your mom go and say to add some homework? You are not the only one."
C_1,97,"‎28 / 04 / 18 , 14 : 50 - Bullo2 : Stai zitta rincoglionita","‎28 / 04 / 18 , 14 : 50 - Bullo2 : Shut up, you stupid girl!"
C_1,98,"‎28 / 04 / 18 , 14 : 50 - SupportoVittima1 : Io sono dalla tua parte ma se scrivi ste cose non lo sono più","‎28 / 04 / 18 , 14 : 50 - SupportoVittima1 : I am on your side but if you write these things I'm not anymore"
C_1,99,"‎28 / 04 / 18 , 14 : 51 - Vittima : perché magari fa bene anche a voi fare qualche sforzo in più","‎28 / 04 / 18 , 14 : 51 - Vittima : because maybe it's good for you too to make some extra effort"
C_1,100,"‎28 / 04 / 18 , 14 : 51 - Vittima : magari scoprite che vi piace leggere e studiare","‎28 / 04 / 18 , 14 : 51 - Vittima : Maybe you discover that you like reading and studying."
C_1,101,"‎28 / 04 / 18 , 14 : 52 - Vittima : ‎VID - 20180428 - WA0000 . mp4 ( file allegato )","‎28 / 04 / 18 , 14 : 52 - Vittima : VID - 20180428 - WA0000 . mp4 ( file attached )"
C_1,102,"‎28 / 04 / 18 , 14 : 53 - SupportoVittima1 : Vittima io sono dalla tua parte ma se continui cosí non lo sono più","‎28 / 04 / 18 , 14 : 53 - SupportoVittima1 : Vittima, I'm on your side but if you keep this up I'm not anymore"
C_1,103,"‎28 / 04 / 18 , 14 : 54 - Vittima : ma SupportoVittima1 , cosa devo farci","‎28 / 04 / 18 , 14 : 54 - Vittima : but SupportVittima1, what should I do (with it)"
C_1,104,"‎28 / 04 / 18 , 14 : 54 - Vittima : posso non piacere , ma che male c'è se mi piace studiare e leggere","‎28 / 04 / 18 , 14 : 54 - Vittima : I may not be liked but what's wrong with studying and reading?"
C_1,105,"‎28 / 04 / 18 , 14 : 56 - SupportoVittima1 : be per prima cosa ( se non vuoi che tuttti ti odiano ) vai da tua madre e convincila a ritornare dalle prof ( per dirgli che cosí sono troppi i compiti","‎28 / 04 / 18 , 14 : 56 - SupportoVittima1 : well first thing (if you do not want that everyone hates you) go to your mother and convince her to go back to the teachers (to tell them that we have too much homework to do )"
C_1,106,"‎28 / 04 / 18 , 14 : 57 - Vittima : ma non è vero che sono troppi","‎28 / 04 / 18 , 14 : 57 - Vittima : but it's not true that it is too much"
C_1,107,"‎28 / 04 / 18 , 14 : 57 - Vittima : vi sapete solo lametnare","‎28 / 04 / 18 , 14 : 57 - Vittima : you can just complain"
C_1,108,"‎28 / 04 / 18 , 14 : 57 - SupportoBullo1 : Studiavi per conto tuo non serviva che anche noi studiassimo in più solo per te coglione","‎28 / 04 / 18 , 14 : 57 - SupportoBullo1 : You were studying on your own. You didn't need us to study extra just for you, asshole."
C_1,109,"‎28 / 04 / 18 , 14 : 58 - Vittima : invece a me sembra che ne abbiate proprio bisogno","‎28 / 04 / 18 , 14 : 58 - Vittima : It seems to me that you really need it instead"
C_1,110,"‎28 / 04 / 18 , 14 : 59 - Vittima : con tutte le parolacce e le offese che mi state rivolgendo","‎28 / 04 / 18 , 14 : 59 - Vittima : with all the swear words and insults you're addressing to me."
C_1,111,"‎28 / 04 / 18 , 14 : 59 - SupportoBullo1 : Se volevamo studiare in più lo avremmo fatto in autonomia senza che tu andavi da tua madre","‎28 / 04 / 18 , 14 : 59 - SupportoBullo1 : If we wanted to study more, we would have done it autonomously without you going to your mother"
C_1,112,"‎28 / 04 / 18 , 15 : 00 - SupportoVittima1 : Parla pre te","‎28 / 04 / 18 , 15 : 00 - SupportoVittima1 : Speak for yourself."
C_1,113,"‎28 / 04 / 18 , 15 : 00 - Vittima : mia madre ci tiene che noi ragazzi cresciamo con cultura e conoscenza . . . non con le offese","‎28 / 04 / 18 , 15 : 00 - Vittima : My mother wants us kids to grow up with culture and knowledge . . . not with insults."
C_1,114,"‎28 / 04 / 18 , 15 : 00 - Vittima : magari un giorno la ringrazierete . . . io lo faccio già adesso","‎28 / 04 / 18 , 15 : 00 - Vittima : Maybe one day you'll thank her . . I'm doing it right now."
C_1,115,"‎28 / 04 / 18 , 15 : 03 - SupportoVittima2 : Ottima riflessione non asciltarlu","‎28 / 04 / 18 , 15 : 03 - SupportoVittima2 : Good thinking, don't listen to him."
C_1,116,"‎28 / 04 / 18 , 15 : 03 - SupportoVittima2 : Ascoltarli","‎28 / 04 / 18 , 15 : 03 - SupportoVittima2 : Listen to them"
C_1,117,"‎28 / 04 / 18 , 18 : 55 - SupportoBullo3 : Hahah fai schifo secchione","‎28 / 04 / 18 , 18 : 55 - SupportoBullo3 : Hahahah you suck, nerd"
C_1,118,"‎28 / 04 / 18 , 18 : 58 - Bullo1 : Esatto fai cagare &#128169;","‎28 / 04 / 18 , 18 : 58 - Bullo1 : That's right you suck &#128169;"
C_1,119,"‎28 / 04 / 18 , 18 : 59 - SupportoVittima1 : Almeno non viene bocciato come voi pk lui studia","‎28 / 04 / 18 , 18 : 59 - SupportoVittima1 : At least he's not flunking out like you because he studies."
C_1,120,"‎28 / 04 / 18 , 19 : 00 - Vittima : infatti","‎28 / 04 / 18 , 19 : 00 - Vittima : in fact"
C_2,0,"29 / 04 / 18 , 14 : 51 - SupportoBullo1 : Sei una merda percheeee i compiti me li fai tu !","29 / 04 / 18 , 14 : 51 - SupportoBullo1 : You're a shit because now you do my homework!"
C_2,1,"‎29 / 04 / 18 , 14 : 51 - Okay ?","‎29 / 04 / 18 , 14 : 51 - Okay ?:"
C_2,2,"‎29 / 04 / 18 , 14 : 53 - Bullo2 : Infatti per colpa tua adesso ci tocca stare a casa a fare compiti","‎29 / 04 / 18 , 14 : 53 - Bullo2 : In fact, because of you, now we have to stay home and do homework."
C_2,3,"‎29 / 04 / 18 , 15 : 01 - Vittima : Non è colpa mia .","‎29 / 04 / 18 , 15 : 01 - Vittima : It's not my fault."
C_2,4,"‎29 / 04 / 18 , 15 : 01 - Vittima : E poi un po' di compiti non sono la fine del mondo . Io li ho fatti in mezz'ora . . .","‎29 / 04 / 18 , 15 : 01 - Vittima : Then a little homework is not the end of the world. I did it in half an hour..."
C_2,5,"‎29 / 04 / 18 , 15 : 02 - Bullo2 : Secchione di merda","‎29 / 04 / 18 , 15 : 02 - Bullo2 : F***ing nerd."
C_2,6,"‎29 / 04 / 18 , 15 : 04 - Bullo1 : Devi andare da tua madre che lei si fa tutti sti compiti del cazzo","‎29 / 04 / 18 , 15 : 04 - Bullo1 : You have to go to your mother so she will do all this f***ing  homework."
C_2,7,"‎29 / 04 / 18 , 15 : 52 - SupportoBullo2 : Con questo bel tempo potremo essere in giro e invece siamo chiusi in casa a fare compiti","‎29 / 04 / 18 , 15 : 52 - SupportoBullo2 : With this nice weather we could be out and about and we're stuck at home doing homework."
C_2,8,"‎29 / 04 / 18 , 20 : 24 - SupportoBullo1 : Già","‎29 / 04 / 18 , 20 : 24 - SupportoBullo1 : Yep"
