File,SentenceNumber,Sentence
A_1,102,‪Bullo2‬ : Bravi vai ad allenarti così magari farai una figura un po' più decente
A_1,103,‪Bullo2‬ : Ma non credo
A_1,104,‪SupportoVittima3‬ : Voglio vederti te a ballare saresti un pinguino . . . sicuro
A_1,105,‪SupportoVittima3‬ : O fai danza pure te
A_1,106,‪SupportoVittima3‬ : &#10068; &#10068; &#10068;
A_1,107,‪Bullo2‬ : Beh un pinguino balla sicuramente meglio di Vittima
A_1,108,‪Bullo2‬ : Io danza ? Mai
A_1,109,WA0006 . jpg ( file allegato )
A_1,110,‪Bullo2‬ : Sembra ebete
A_1,111,‪SupportoVittima1‬ : Ecco Vittima tra qualche anno
A_1,112,"‪Bullo2‬ : Poverino , non augurerei questa fine a nessuno"
A_1,113,‪SupportoVittima3‬ : Roberto Bolle é il ballerino + bravo in Italia
A_1,114,‪SupportoVittima3‬ : Quindi gli hai fatto un complemento
A_1,115,‪Bullo2‬ : Vittima no però
A_1,116,‪Bullo2‬ : Ma ti pare ?
A_1,117,‪SupportoVittima1‬ : Mia lo diventerà
A_1,118,‪Bullo2‬ : Io penso solo che Vittima stia facendo una cosa stupida
A_1,119,‪Bullo2‬ : Molto stupida
A_1,120,‪SupportoVittima3‬ : Lascialo fare
A_1,121,‪Bullo2‬ : Ma smettetela che quando gli diciamo che è messo male va a piangere dalla mammina
A_1,122,‪SupportoVittima3‬ : Sei con lui
A_1,123,‪Bullo2‬ : No
A_1,124,‪SupportoVittima3‬ : Allora cosa giudichi
A_1,125,‪SupportoVittima3‬ : ? ? ?
A_1,126,‪Bullo2‬ : Io so già la fine che farà Vittima
A_1,127,‪SupportoVittima3‬ : Cioè ?
A_1,128,‪Bullo2‬ : Sarà lì davanti a tutti che gli tireranno pomodori addosso
A_1,129,‪SupportoVittima3‬ : Secondo me rose
A_1,130,‪Bullo2‬ : Si magari anche crisantemi &#128514; &#128514;
A_1,131,"‪Bullo2‬ : Andranno tutti dal fruttivendolo a ricaricare le loro ""armi"""
A_1,132,‪Bullo2‬ : Però se ci pensate una parte bella dello spettacolo ci sarà
A_1,133,‪SupportoVittima3‬ : Non dire quello che penso
A_1,134,‪Bullo2‬ : La FINE
A_1,135,‪Bullo2‬ : Mi dispiace ma è vero
A_1,136,‪SupportoVittima3‬ : Non dire così
A_1,137,‪Bullo2‬ : Penso che gli unici biglietti comprati sono quelli di sua mamma e i altri due vostri &#128514; &#128514;
A_1,138,‪Bullo2‬ : Anzi ne sono sicura
A_1,139,‪SupportoVittima3‬ : Taci vala`
A_1,140,‪SupportoVittima1‬ : No ! Hanno detto che vanno anche Bullo1 e SupportoBullo2
A_1,141,‪Bullo2‬ : Solo per ridere e insultare &#128514; &#128514; &#128514;
A_1,142,‪SupportoVittima3‬ : Si ma Vittima farà finta di niente e si mostrerà SUPERIORE ad entrambi
A_1,143,‪Bullo2‬ : Se si vergogna non è superiore
A_1,144,‪SupportoVittima3‬ : Non ha niente di cui vergognarsi
A_1,145,‪Bullo2‬ : L' ha detto lui esplicitamente
A_1,146,‪Bullo2‬ : Anche io fossi in lui mi vergognerei
A_1,147,‪SupportoVittima3‬ : Ma cosa fici
A_1,148,‪SupportoVittima3‬ : De di vergognasse non vi avrebbe invitato
A_1,149,‪Bullo2‬ : Ma lui lo ha fatto
A_1,150,‪SupportoVittima3‬ : Quindi non si vergogna
A_1,151,"‪Bullo2‬ : ""Mi vergogno un po'"""
A_1,152,‪Bullo2‬ : Frocioooo
A_1,153,‪SupportoBullo2‬ : Vittima non ha speranze è solo un ragazzo disperato che crede di essere figo facendo il gay a danza
A_1,154,‪Bullo2‬ : SupportoBullo2 ha ragione
A_1,155,‪Bullo1‬ : Ovvio
A_1,156,‪SupportoBullo1‬ : Ovvio
A_1,157,‪Bullo2‬ : Sei davvero fissato con la danza &#128580; &#128580;
A_1,158,‪Bullo2‬ : Meglio se cadi e muori
A_1,159,‪SupportoBullo2‬ : Grande SupportoBullo1 adesso aiutaci a spiegare a questo sfigato che la danza è per FINOCCHI
A_1,160,‪SupportoBullo1‬ : Che finocchietto
A_1,161,WA0007 . jpg ( file allegato )
A_1,162,Vittima : ‎hahahahaha
A_1,163,"Vittima : ‎provate voi a fare questo , poi ne riparliamo"
A_1,164,‪Bullo1‬ : &#128514; &#128514; &#128514; &#128514; &#128514; &#128514;
A_1,165,‪Bullo2‬ : Pensi di essere superiore solo perché sai fare quella cosa ?
A_1,166,"Vittima : beh , io la so fare . ."
A_1,167,‪SupportoBullo2‬ : Ma io non ci provo neanche pk se tu non hai il ca**o e riesci a fare questi movimenti . . . vuoi un applauso ?
A_1,168,"‪Bullo2‬ : E tu sai suonare il pianoforte , sai giocare a pallavaolo , sai fare equitazione ? ? ? ?"
A_1,169,‪Bullo2‬ : Vuoi solo attenzioni che non ti meriti
A_1,170,‎‪SupportoBullo2‬ ha cambiato l'immagine del gruppo
A_1,171,‪SupportoBullo2‬ : L immagine che ho messo si addice perfettamente a Vittima
A_1,172,‪Bullo2‬ : Quello È Vittima
A_1,173,‪SupportoBullo1‬ : Ti credi figo solo pk sai fare quella cazzo di danza
A_1,174,‪Bullo2‬ : E invece non sai fare nemmeno quella
A_1,175,‪SupportoBullo1‬ : Grande Bullo2
A_1,176,‪Bullo2‬ : Secondo me sarai bravo per i muri
A_1,177,‪Bullo2‬ : Magari nemmeno per loro
A_1,178,‪SupportoBullo2‬ : Ma sicuro che al saggio ti hanno preso &#129315;o fai l infiltrato per fare una figuraccia
A_1,179,‪Bullo2‬ : Faresti meglio a non presentarti al saggio
A_1,180,‪Bullo2‬ : Lo diciamo peril tuo bene
A_1,181,"Vittima : vabbè , è una battaglia persa . . tanto chi non vuole capire non capisce ."
A_1,182,Vittima : Ci vediamo domani a scuola
A_1,183,Vittima : che l'allenamento è stato pesante e non ho ancora mangiato
A_1,184,‪SupportoBullo1‬ : Faresti meglio a morire
A_1,185,‪SupportoBullo2‬ : Pesante &#128514; &#128514;tu sei pesante a continuare a dire ste cretinate
A_1,186,‪Bullo2‬ : Non mangiare tanto o diventi ancora più obeso
A_1,187,‪SupportoBullo2‬ : Poi chi ti vuole vedere &#128514;
A_1,188,‪Bullo2‬ : In realtà non ti vuole vedere nessuno nemmeno adesso
A_1,189,‪SupportoBullo2‬ : Buona notte a tutti gli etero
A_1,190,‪Bullo1‬ : Si bufu hai finito quell'allenamento
A_1,191,‪SupportoVittima1‬ : Smettila i chiamarlo così
A_1,192,‪SupportoVittima3‬ : Esatto
A_1,193,‪SupportoVittima3‬ : SupportoVittima1 ha perfettamente ragione
A_1,194,‪Bullo2‬ : Tanto usa la testa solo per separare le orecchie
A_1,195,Vittima : ma ancora con me ce l'avete ?
A_1,196,Vittima : Ma non avete di meglio da fare ?
A_1,197,"‪SupportoVittima1‬ : Appunto , lasciatelo stare"
A_1,198,‪SupportoVittima3‬ : Lasciatelo in pace
A_1,199,‪SupportoVittima3‬ : Lasciatelo in pace almeno per 2 ore
A_1,200,‪SupportoVittima3‬ : Cosa vi ha fatto
A_1,201,‪SupportoVittima3‬ : Vi da fastidio che balla
A_1,202,‪SupportoVittima3‬ : ? ? ?
A_1,203,‪Bullo2‬ : No ma non è una cosa che fanno u maschi
A_1,204,‪Bullo2‬ : Questo messaggio è stato eliminato
A_1,205,‪Bullo2‬ : I*
A_1,206,‪SupportoVittima3‬ : Allora ?
A_1,207,‪Bullo2‬ : Prendi ad esempio Marco Bolla
A_1,208,‪Bullo2‬ : È gay
A_1,209,‪SupportoVittima3‬ : Io se voglio posso fare rugby .
A_1,210,‪Bullo2‬ : Probabilmente Vittima seguirà il suo esempio
A_1,211,Vittima : E chi sarebbe Marco Bolla ? Un tuo amico ?
A_1,212,"Vittima : Io conosco Roberto Bolle , il ballerino ."
A_1,213,"Vittima : mi sa che , come credevo , è solo l'ignoranza a parlare"
A_1,214,Vittima : ahahahahaha
A_1,215,‪Bullo2‬ : Sorry Marco Bolle
A_1,216,‪Bullo2‬ : E se avessi sbagliato a schiacciare ?
A_1,217,‪Bullo2‬ : Succede a tutti
A_1,218,"‪SupportoVittima1‬ : Il mio non era un insulto , era solo un modo per dimostrarvi che anche gli uomini possono fare danza classica !"
A_1,219,‪Bullo2‬ : Quindi gli ignoranti siete voi
A_1,220,‪Bullo2‬ : Io continuo a pensare che sia frocio
A_1,221,‪SupportoVittima1‬ : Perché ?
A_1,222,‪Bullo2‬ : Perché danza classica è da femmine
A_1,223,‪Bullo2‬ : Ah ecco perché Vittima fa da danza
A_1,224,‪Bullo1‬ : Ma Vittima non è una femmina è una ballerina
A_1,225,‪Bullo1‬ : Vittima è così poco maschio che se si sposa il parroco lo dichiara moglie e moglie
A_1,226,‪Bullo2‬ : È inutile insultarlo per farlo spegnere . Non si può spegnere una cosa mai accesa
A_1,227,‪Bullo1‬ : Oooooook
A_1,228,‪Bullo1‬ : Ooooooo
A_1,229,Vittima : Anche tu ti ci metti ?
A_1,230,Vittima : Secondo me se provassi a fare danza piacerebbe molto . Prova .
A_1,231,‪Bullo2‬ : Sei fissato madonna !
A_1,232,‪Bullo1‬ : Non mi entrerebbe il tutù perché io il coso c'è la ho
A_1,233,‪Bullo2‬ : Si cosi magari viene deriso anche lui
A_1,234,‪Bullo2‬ : Bullo1 un cervello ce l'ha
A_1,235,‪Bullo2‬ : A differenza tua
A_1,236,‪Bullo1‬ : Così divento obeso anche io
A_1,237,‪Bullo1‬ : Anche no
A_1,238,‪Bullo1‬ : ! ! ! !
A_1,239,"‪Bullo2‬ : Io non dico che al saggio Vittima farà schifo , dico solo che invidio i non vedenti"
A_1,240,‪Bullo2‬ : Detti anche ciechi
A_1,241,"Vittima : Mi sa che i ciechi siete voi che non volete vedere . E vedete solo le cose che volete voi , senza capire gli altri ."
A_1,242,"‪SupportoVittima1‬ : Ma mi spiegate , pensandoci prima di scrivere , perchè lo indultate in questa maniera ? Saranno cavolacci suoi se fa danza ? Se a voi non interessa non andate neanche al saggio ! Lui è solo statp gentile a invitarvi !"
A_1,243,‪Bullo2‬ : Poteva evitare di fare la figura del finocchio non invitandoci
A_1,244,‪SupportoVittima1‬ : Ma se vi ha invitato ci sarà un motivo !
A_1,245,‪Bullo2‬ : Si
A_1,246,‪Bullo2‬ : Non c'era nessuno che voleva venire a vederlo
A_1,247,‪Bullo2‬ : Eccolo qua il motivo
A_1,248,‪SupportoVittima1‬ : Ma se sapeva che lo avreste insultato non vi avrebbe neanche invitato ! Tanto è meglio non avere nessuno al proprio saggio che essere insultati fino a quando non muori
A_1,249,‪Bullo2‬ : Non ci ha pensato
A_1,250,‪SupportoVittima1‬ : Io credo di sì ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
A_1,251,‪Bullo2‬ : Ma secondo me i neuroni che funzionano nella sua testa sono un po' meno di zero
A_1,252,‪Bullo2‬ : Quindi difficile che ci abbia pensato
A_1,253,‪SupportoVittima1‬ : Cosa ne sai ? Glielo hai chiesto ?
A_1,254,‪Bullo2‬ : Ma dai ! Pensi davvero che nella sua testa ci siano neuroni funzionanti ?
A_1,255,Vittima : Grazie SupportoVittima1 ! Sei una amica .
A_1,256,Vittima : E pensavo che anche gli altri lo fossero . Ma forse mi sbagliavo .
A_1,257,‪SupportoVittima1‬ : Si
A_1,258,‪Bullo2‬ : Non ci credo
A_1,259,‪SupportoVittima3‬ : Allora siete solo dei idioti a fare queste discriminazioni
A_1,260,Vittima : Grazie SupportoVittima3 !
A_1,261,"Vittima : E adesso , come mi ha consigliato un amico , meglio che stacchi e vada ad allenarmi ."
A_1,262,‪Bullo2‬ : Bravo vai ad allenarti tanto non riesci a diventare bravo a danza classica
A_1,263,"‪SupportoVittima3‬ : Non è vero , sono sicura che è il + bravo del corso"
A_1,264,"‪Bullo2‬ : Sì SupportoVittima3 , vai convinta !"
A_1,265,‪SupportoBullo2‬ : Bullo2 ha ragione
A_1,266,‪Bullo2‬ : Ovvio che ho ragione !
A_1,267,‪SupportoVittima3‬ : Scusa vi correggo . . .
A_1,268,Ovvio io ho sempre *TORTO
A_1,269,‪Bullo2‬ : Mi sa che il tuo correttore funziona male sai ?
A_1,270,‪SupportoVittima3‬ : Io non credo proprio
A_1,271,‪Bullo2‬ : Dov'è Vittima ?
A_1,272,‪SupportoVittima3‬ : Ma cosa ti importa ?
A_1,273,‪Bullo2‬ : Non sarà mica andato a piangere da sua mamma
A_1,274,‪SupportoVittima3‬ : A detto che è ad allenamento . . . lo accendi il cervello ogni'tanto ? &#129300;
A_1,275,‪Bullo2‬ : So che è all' allenamento ma . . .
A_1,276,‪SupportoVittima3‬ : Ma cosa
A_1,277,‪SupportoVittima3‬ : ? ? ?
A_1,278,‪Bullo2‬ : Ti lascio immaginare
A_1,279,‪SupportoVittima3‬ : Ti fai i c**** tuoi
A_1,280,‪SupportoVittima1‬ : Magari è al mc e si sta godendo il suo panino
A_1,281,‪Bullo2‬ : Ma dai una ballerina deve seguire una dieta sana
A_1,282,‪Bullo2‬ : Non penso sia al mc
A_1,283,‪SupportoVittima3‬ : Perché no ? ?
A_1,284,‪Bullo2‬ : Pensala come vuoi
A_1,285,‪Bullo2‬ : Ma una ballerina deve seguire una dieta sana
A_1,286,"‪SupportoVittima3‬ : Può fare ciò che gli pare e piace e se ti va bene , bene se non ti va bene pazienza , ti tieni la boccaccia chiusa"
A_1,287,‪Bullo2‬ : Ti pare che ti ascolto ?
A_1,288,‪SupportoVittima3‬ : Hai perfettamente ragione ti pare che Vittima ti ascolti ?
A_1,289,‪SupportoVittima3‬ : Beh io non credo
A_1,290,‪Bullo2‬ : Vittima è debole
A_1,291,‪SupportoVittima3‬ : &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#8252; &#10071;
A_1,292,‪SupportoVittima3‬ : Tu sarai debole
A_1,293,‪SupportoVittima3‬ : Perché per giudicare così dietro uno schermo siete tutti bravi giusto o sbaglio ? ? ?
A_1,294,‪Bullo2‬ : Sai l' offesa mi pesa tanto detta da te sai ?
A_1,295,‪Bullo2‬ : Pure tu tesoro
A_1,296,‪SupportoVittima3‬ : Io mi rispondo da sola
A_1,297,‪SupportoVittima3‬ : Non sbaglio se incoraggio un amico
A_1,298,‪SupportoVittima3‬ : Tesoro un corno
A_1,299,‪SupportoVittima3‬ : Non ti permettere di parlare a me ed a Vittima in questo modo
A_1,300,‪SupportoVittima3‬ : CAPITO ? ? ? ?
A_1,301,‪SupportoBullo1‬ : Pk
A_1,302,‪SupportoVittima3‬ : Perché nessuno mi dice quello che devo gare
A_1,303,‪Bullo2‬ : Stessa cosa
A_1,304,‪Bullo2‬ : Non mi puoi dire cosa fare e cosa no
A_1,305,‪SupportoVittima3‬ : E voi non potete offendere in questo modo Vittima che non vi ha fatto niente di male
A_1,306,‪SupportoBullo1‬ : Pk
A_1,307,‪SupportoVittima3‬ : Com . Non mi ricordo ti averti mai detto quello che devi p non devo fare
A_1,308,‪SupportoVittima3‬ : Io ti ho dolo chiesto perché lo fai
A_1,309,‪SupportoBullo1‬ : Se ê uno sfigato
A_1,310,‪SupportoVittima3‬ : Perché dovrebbe esserlo ? ?
A_1,311,‪SupportoVittima3‬ : E non dire perché danza classica è uno sport da femmine
A_1,312,‪SupportoVittima3‬ : Perché possono praticarlo tutti
A_1,313,‪Bullo2‬ : Questo suona tanto come un ordine
A_1,314,‪SupportoBullo1‬ : No
A_1,315,‪SupportoVittima3‬ : Suona non é un ordine
A_1,316,"‪Bullo2‬ : Se io ti dicessi ""non ti permettere mai più"" te lo sto ordinando"
A_1,317,"‪Bullo2‬ : Non ti sto chiedendo ""per favore , puoi non farlo più ? """
A_1,318,‪SupportoVittima3‬ : Non credo proprio
A_1,319,‪SupportoVittima3‬ : Sono punti di vista
A_1,320,‪SupportoBullo1‬ : Tu non mi dai ordini
A_1,321,"‪SupportoVittima3‬ : Allora : ""PER FAVORE PUOI NON FARLO PIU ? """
A_1,322,‪SupportoBullo1‬ : No
A_1,323,‪Bullo2‬ : Anche il mio parere su Vittima è un punto di vista
A_1,324,‪Bullo2‬ : Cosa ?
A_1,325,‪SupportoVittima3‬ : Vabbe` tanto la figura dello stupido la fai tu
A_1,326,‪SupportoVittima3‬ : Tormentare Vittima
A_1,327,‪Bullo2‬ : Cosa ti interessa ?
A_1,328,‪Bullo2‬ : Sto tormentano Vittima non te
A_1,329,‪SupportoVittima3‬ : Allora se io fossi Vittima non vorrei essere insultata per una sciocchezza
A_1,330,‪Bullo2‬ : Ma tu non sei Vittima
A_1,331,‪SupportoVittima3‬ : Come vedi ti hovrisposto
A_1,332,‪SupportoBullo1‬ : Vittima e uno sfigato frocio
A_1,333,‪SupportoVittima3‬ : Perché tu no ? ?
A_1,334,‪SupportoBullo1‬ : No
A_1,335,‪Bullo2‬ : Lui non fa danza classica
A_1,336,‪SupportoVittima3‬ : COSA CENTRAAAAAAAAAAAAA ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?
A_1,337,‪Bullo2‬ : Centra
A_1,338,‪Bullo2‬ : Eccome se centra
A_1,339,‪SupportoVittima3‬ : Nooo
A_1,340,‪Bullo2‬ : Secondo te perché staimo discutendo ? Da dove è partito tutto ?
A_1,341,"‪SupportoVittima3‬ : Lasciate stare , mi sa che è un concetto troppo difficile per voi"
A_1,342,‪Bullo2‬ : Andiamo ti sei già arresa ?
A_1,343,‪SupportoVittima3‬ : APPUNTO . . . TI RENDI CONTO PER QUALE SCIOCCHEZZA AVETE BULLIZZATO ( il povero ) Vittima
A_1,344,‪Bullo2‬ : Se ti sembra una sciocchezza perché continui a difenderlo ?
A_1,345,‪SupportoVittima3‬ : Esatto
A_1,346,‪Bullo2‬ : . . .
A_1,347,WA0001 . jpg ( file allegato )
A_1,348,‪SupportoBullo1‬ : Questo è Vittima
A_1,349,‪Bullo2‬ : La differenza tra Vittima e martedi ? Il martedì è grasso una sola volta all'anno
A_1,350,Vittima : Ma non sono grasso ! Ho perso molti chili proprio con la danza classica ! !
A_1,351,‪SupportoVittima3‬ : Lasciali stare . . . si divertono e si lamentano per il gusto di farti soffrire
A_1,352,‪Bullo2‬ : Mah non sembra tanto
A_1,353,‪SupportoVittima3‬ : Solo immagini sfocate eh
A_1,354,‪SupportoVittima3‬ : Da cosa lo dici
A_1,355,‪SupportoVittima3‬ : ? ?
A_1,356,‎‪SupportoVittima3‬ ha cambiato l'immagine del gruppo
A_1,357,‪Bullo2‬ : Quando danza non sembra che danzi
A_1,358,‪Bullo2‬ : Ma sembra che faccia movimenti stranissimi e a caso
A_1,359,‪Bullo2‬ : Questo non è il compito di una ballerina
A_1,360,‪SupportoVittima3‬ : BASTAAAAAA
A_1,361,‪SupportoVittima3‬ : Non é vero
A_1,362,Vittima : Grazie SupportoVittima3 !
A_1,363,Vittima : E grazie anche per aver cambiato l'immagine del gruppo . Quella è la danza ! ! ! !
A_1,364,‪Bullo2‬ : Infatti quella che fai tu non è danza
A_1,365,‪SupportoVittima3‬ : &#129318;‍♀
A_1,366,‪SupportoVittima3‬ : Siete inrecuperabili
A_1,367,‪Bullo2‬ : Anche Vittima a quanto pare
A_1,368,‪SupportoVittima3‬ : Ma dai
A_1,369,Vittima : io vi ho invitato al saggio perché così potevate vedere . Ma evidentemente qualcuno preferisce non vedere . . .
A_1,370,‪Bullo2‬ : Qualcuno tipo nessuno tranne SupportoVittima3 e SupportoVittima1
A_1,371,"‪Bullo2‬ : E fidati Vittima , vengono solo per compassione"
A_1,372,‪SupportoVittima3‬ : Non bisogna dare troppo peso alle parole altrimenti non se ne esce piu
A_1,373,‪Bullo2‬ : Come ho detto prima Vittima è debole
A_1,374,‪SupportoVittima3‬ : Non è affatto vero
A_1,375,‪Bullo2‬ : E invece si
A_1,376,‪SupportoVittima3‬ : No
A_1,377,"Vittima : hai ragione . Meglio che lascio perdere . Ma sono arrabbiato , mi da fastidio essere insultato senza motivo ."
A_1,378,‪SupportoVittima3‬ : Capita
A_1,379,‪SupportoVittima3‬ : Capitata spesso sai
A_1,380,‪Bullo2‬ : C'è un motivo
A_1,381,‪Bullo2‬ : Il motivo sei tu
A_1,382,‪SupportoVittima3‬ : Questa non se la meritava
